cutsheet_url,pid,listing_id,class_id,ldate,sdate,expdate,dom,lprice,sprice,stid
https://www.viewpoint.ca/cutsheet/202602594/1/53-St-Andrews-Street-Pictou,00972299,202525659,1,2025-10-11,,2026-01-11,55,249900,,3
https://www.viewpoint.ca/cutsheet/202602594/1/53-St-Andrews-Street-Pictou,00972299,202022516,1,2020-10-29,2020-12-09,2021-01-31,41,89000,75000,2
https://www.viewpoint.ca/cutsheet/202605009/1/145-Strickland-Avenue-Trenton,65190365,202605009,1,2026-03-20,,2026-03-20,19,669900,,5
https://www.viewpoint.ca/cutsheet/202605009/1/145-Strickland-Avenue-Trenton,65190365,202303331,5,2023-03-03,2023-10-26,2023-10-30,237,29900,25000,2
https://www.viewpoint.ca/cutsheet/202605009/1/145-Strickland-Avenue-Trenton,65190365,202124579,5,2021-09-27,,2022-03-28,182,29900,,1
https://www.viewpoint.ca/cutsheet/202605009/1/145-Strickland-Avenue-Trenton,65190365,202012078,5,2020-06-30,,2020-10-01,93,24900,,1
https://www.viewpoint.ca/cutsheet/202605009/1/145-Strickland-Avenue-Trenton,65190365,4433330,5,2011-07-11,,2012-08-30,416,17500,,1
https://www.viewpoint.ca/cutsheet/202605977/1/6-Thirteenth-Street-Trenton,01024918,202605977,1,2026-04-01,,2026-04-01,7,299000,,5
https://www.viewpoint.ca/cutsheet/202605977/1/6-Thirteenth-Street-Trenton,01024918,202126049,1,2021-10-15,2021-11-10,2021-11-12,26,209900,189000,2
https://www.viewpoint.ca/cutsheet/202605977/1/6-Thirteenth-Street-Trenton,01024918,202009774,1,2020-06-05,2020-07-13,2020-07-13,38,129900,125000,2
https://www.viewpoint.ca/cutsheet/202605565/1/743-Three-Brooks-Road-Central-Caribou,00809764,202605565,1,2026-03-26,,2026-03-26,13,449000,,5
https://www.viewpoint.ca/cutsheet/202601444/1/2121-Union-Street-Westville,01034719,202601444,1,2026-01-22,,2026-03-30,76,189000,,5
https://www.viewpoint.ca/cutsheet/202601444/1/2121-Union-Street-Westville,01034719,3979101,1,2009-09-20,2010-06-18,2010-09-30,271,59900,55000,2
https://www.viewpoint.ca/cutsheet/202605113/1/1910-West-Street-Westville,01031491,202605113,1,2026-03-21,,2026-03-21,18,695000,,5
https://www.viewpoint.ca/cutsheet/202603131/1/73-Westview-Drive-Mount-William,65029951,202603131,1,2026-02-19,,2026-02-20,48,389900,,5
https://www.viewpoint.ca/cutsheet/202603131/1/73-Westview-Drive-Mount-William,65029951,202518362,1,2025-07-22,,2026-01-23,185,399900,,1
https://www.viewpoint.ca/cutsheet/202602678/1/2503-Westville-Road-Westville-Road,00859199,202602678,1,2026-02-10,,2026-02-12,57,459900,,5
https://www.viewpoint.ca/cutsheet/202605909/1/31-Payton-Lane-Mount-William,65241762,202605909,1,2026-03-30,,2026-03-31,9,489900,,5
https://www.viewpoint.ca/cutsheet/202606289/1/1258-Caribou-Island-Road-Caribou-Island,65023442,202606289,1,2026-04-02,,2026-04-03,6,550000,,5
